Run	Sample Characteristic[cell type]	Sample Characteristic Ontology Term[cell type]	Sample Characteristic[clinical information]	Sample Characteristic Ontology Term[clinical information]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[clinical information]	Factor Value Ontology Term[clinical information]	Analysed
SRR886595	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886596	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886597	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886598	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886599	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886600	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886601	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886602	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886603	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
SRR886604	airway basal cell	http://purl.obolibrary.org/obo/CL_0002633	smoker		normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	respiratory airway	http://purl.obolibrary.org/obo/UBERON_0001005	smoker		Yes
